demographics_code,demographics_text
LB01,Quintiles of income before taxes
LB02,Income before taxes
LB04,Age of reference person
LB05,Size of consumer unit
LB06,Composition of consumer unit
LB07,Number of earners
LB09,Race of reference person
LB10,Hispanic or Latino origin of reference person
LB11,Region of residence
LB12,Occupation of reference person
LB13,Education of reference person
LB14,Highest education level of any member
LB15,Deciles of income before taxes
LB16,Generation of reference person
LB17,Housing tenure
LB18,Type of area