client_name,Company,industry_code,industry_name,year,as_of_date,total_negative_events,total_positive_events,total_events,negative_events_flag,pct_negative_events,pct_negative_events_qoq_L1,pct_negative_events_qoq_L2,pct_negative_events_qoq_L3,pct_negative_events_qoq_L4,pct_negative_events_qoq_L5,pct_negative_events_qoq_L6,pct_negative_events_qoq_L7,pct_negative_events_qoq_L8,pct_negative_events_qoq_L9,pct_negative_events_qoq_L10,pct_negative_events_qoq_L11,pct_negative_events_qoq_L12
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-06-30,0.0,4.0,4.0,0,0.0,,,,,,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-12-31,1.0,2.0,3.0,1,0.3333333333333333,0.0,,,,,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-03-31,0.0,1.0,1.0,0,0.0,0.3333333333333333,0.0,,,,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-06-30,1.0,0.0,1.0,1,1.0,0.0,0.3333333333333333,0.0,,,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-09-30,0.0,3.0,3.0,0,0.0,1.0,0.0,0.3333333333333333,0.0,,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-12-31,1.0,1.0,2.0,1,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-03-31,2.0,0.0,2.0,1,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-06-30,0.0,4.0,4.0,0,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-09-30,1.0,3.0,4.0,1,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-12-31,1.0,3.0,4.0,1,0.25,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-03-31,1.0,4.0,5.0,1,0.2,0.25,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-06-30,5.0,2.0,7.0,1,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0,
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-09-30,0.0,4.0,4.0,0,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-12-31,1.0,4.0,5.0,1,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5,0.0,1.0,0.0,0.3333333333333333
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-03-31,3.0,2.0,5.0,1,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5,0.0,1.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-06-30,3.0,5.0,8.0,1,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-09-30,3.0,5.0,8.0,1,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-12-31,2.0,5.0,7.0,1,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0,0.5
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-03-31,0.0,11.0,11.0,0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0,1.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-06-30,0.0,9.0,9.0,0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-09-30,0.0,7.0,7.0,0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25,0.25
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-12-31,0.0,7.0,7.0,0,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2,0.25
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-03-31,2.0,18.0,20.0,1,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143,0.2
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-06-30,3.0,13.0,16.0,1,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0,0.7142857142857143
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-09-30,3.0,5.0,8.0,1,0.375,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-12-31,0.0,1.0,1.0,0,0.0,0.375,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6,0.2
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-03-31,1.0,3.0,4.0,1,0.25,0.0,0.375,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375,0.6
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-06-30,0.0,1.0,1.0,0,0.0,0.25,0.0,0.375,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375,0.375
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-09-30,2.0,4.0,6.0,1,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857,0.375
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-12-31,4.0,5.0,9.0,1,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1,0.0,0.0,0.0,0.0,0.2857142857142857
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-03-31,4.0,11.0,15.0,1,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1,0.0,0.0,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-06-30,2.0,2.0,4.0,1,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1,0.0,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-09-30,0.0,1.0,1.0,0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1,0.0,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-12-31,0.0,5.0,5.0,0,0.0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-03-31,2.0,7.0,9.0,1,0.2222222222222222,0.0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875,0.1
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-06-30,0.0,7.0,7.0,0,0.0,0.2222222222222222,0.0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375,0.1875
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-09-30,0.0,1.0,1.0,0,0.0,0.0,0.2222222222222222,0.0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0,0.375
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-12-31,0.0,2.0,2.0,0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25,0.0
ALLERGAN INC,Allergan,32541,Pharmaceutical and Medicine Manufacturing,2020,2020-03-31,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.5,0.26666666666666666,0.4444444444444444,0.3333333333333333,0.0,0.25
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-03-31,0.0,2.0,2.0,0,0.0,,,,,,,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-09-30,0.0,4.0,4.0,0,0.0,0.0,,,,,,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2010,2010-12-31,1.0,0.0,1.0,1,1.0,0.0,0.0,,,,,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-03-31,1.0,3.0,4.0,1,0.25,1.0,0.0,0.0,,,,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-06-30,0.0,2.0,2.0,0,0.0,0.25,1.0,0.0,0.0,,,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-09-30,2.0,0.0,2.0,1,1.0,0.0,0.25,1.0,0.0,0.0,,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-12-31,1.0,0.0,1.0,1,1.0,1.0,0.0,0.25,1.0,0.0,0.0,,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-03-31,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-06-30,1.0,2.0,3.0,1,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-09-30,2.0,2.0,4.0,1,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-12-31,1.0,0.0,1.0,1,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-03-31,1.0,6.0,7.0,1,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0,
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-06-30,2.0,0.0,2.0,1,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-09-30,0.0,2.0,2.0,0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-12-31,0.0,1.0,1.0,0,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25,1.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-03-31,2.0,3.0,5.0,1,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0,0.25
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-06-30,0.0,4.0,4.0,0,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-09-30,1.0,10.0,11.0,1,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0,1.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-12-31,2.0,8.0,10.0,1,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0,1.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-03-31,3.0,11.0,14.0,1,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-06-30,0.0,8.0,8.0,0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5,0.3333333333333333
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-09-30,0.0,6.0,6.0,0,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0,0.5
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2015,2015-12-31,2.0,9.0,11.0,1,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285,1.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-03-31,4.0,11.0,15.0,1,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0,0.14285714285714285
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-06-30,2.0,11.0,13.0,1,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0,1.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-09-30,3.0,9.0,12.0,1,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-12-31,9.0,5.0,14.0,1,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-03-31,2.0,13.0,15.0,1,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0,0.4
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-06-30,0.0,11.0,11.0,0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-09-30,0.0,8.0,8.0,0,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2,0.09090909090909091
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-12-31,2.0,6.0,8.0,1,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427,0.2
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-03-31,12.0,9.0,21.0,1,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0,0.21428571428571427
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-06-30,1.0,6.0,7.0,1,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-09-30,2.0,2.0,4.0,1,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-12-31,7.0,7.0,14.0,1,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666,0.18181818181818182
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-03-31,2.0,2.0,4.0,1,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385,0.26666666666666666
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-06-30,1.0,6.0,7.0,1,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25,0.15384615384615385
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-09-30,4.0,2.0,6.0,1,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429,0.25
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2019,2019-12-31,0.0,7.0,7.0,0,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333,0.6428571428571429
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2020,2020-03-31,4.0,5.0,9.0,1,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0,0.13333333333333333
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2020,2020-06-30,1.0,2.0,3.0,1,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2020,2020-09-30,0.0,2.0,2.0,0,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25,0.0
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2020,2020-12-31,5.0,2.0,7.0,1,0.7142857142857143,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714,0.25
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2021,2021-03-31,0.0,6.0,6.0,0,0.0,0.7142857142857143,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285,0.5714285714285714
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2021,2021-06-30,0.0,3.0,3.0,0,0.0,0.0,0.7142857142857143,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5,0.14285714285714285
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2021,2021-09-30,0.0,1.0,1.0,0,0.0,0.0,0.0,0.7142857142857143,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5,0.5
AMGEN INC,Amgen,32541,Pharmaceutical and Medicine Manufacturing,2021,2021-12-31,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6666666666666666,0.14285714285714285,0.5,0.5
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2011,2011-09-30,0.0,1.0,1.0,0,0.0,,,,,,,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2012,2012-06-30,0.0,1.0,1.0,0,0.0,0.0,,,,,,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2013,2013-12-31,1.0,0.0,1.0,1,1.0,0.0,0.0,,,,,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-06-30,1.0,0.0,1.0,1,1.0,1.0,0.0,0.0,,,,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-09-30,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0,,,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2014,2014-12-31,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2016,2016-09-30,1.0,0.0,1.0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2017,2017-06-30,1.0,0.0,1.0,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2018,2018-03-31,0.0,1.0,1.0,0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,
AMNEAL PHARMACEUTICALS LLC,Amneal Pharmaceuticals,32541,Pharmaceutical and Medicine Manufacturing,2020,2020-03-31,1.0,0.0,1.0,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,,
